id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
54510,respondent_54510,Yes,Yes,11875.77,4,23,4
48397,respondent_48397,Yes,Yes,27200.54,2,42,1
59215,respondent_59215,No,Yes,13211.81,2,82,7
17446,respondent_17446,No,Yes,8763.0,4,100,4
60720,respondent_60720,Yes,Yes,10092.69,2,23,1
21620,respondent_21620,No,Yes,12620.63,4,130,3
93054,respondent_93054,Yes,Yes,0.0,1,130,2
70586,respondent_70586,Yes,Yes,35787.33,1,50,0
68329,respondent_68329,No,Yes,23314.98,4,42,7
62129,respondent_62129,No,Yes,0.0,4,81,4
21697,respondent_21697,Yes,Yes,0.0,3,130,8
13299,respondent_13299,No,Yes,0.0,4,17,8
60154,respondent_60154,No,No,0.0,4,128,4
4408,respondent_4408,No,No,0.0,4,21,7
92091,respondent_92091,No,Yes,0.0,4,50,8
61962,respondent_61962,No,No,317500.0,1,40,8
56822,respondent_56822,Yes,Yes,25565.42,2,21,3
55491,respondent_55491,No,Yes,16320.45,2,40,3
88567,respondent_88567,Yes,Yes,15435.58,2,128,5
25449,respondent_25449,No,Yes,1524.0,3,19,8
28887,respondent_28887,No,Yes,17780.0,1,130,3
72811,respondent_72811,Yes,Yes,0.0,3,130,8
86240,respondent_86240,No,No,0.0,4,130,2
73181,respondent_73181,No,Yes,121238.01,1,56,3
34534,respondent_34534,Yes,No,50800.0,1,130,2
35150,respondent_35150,Yes,Yes,26423.62,2,42,3
2561,respondent_2561,Yes,Yes,34972.31,4,40,8
7532,respondent_7532,Yes,Yes,0.0,1,56,8
80250,respondent_80250,No,No,0.0,4,130,5
33529,respondent_33529,Yes,Yes,40957.5,1,130,3
94887,respondent_94887,Yes,Yes,13211.81,1,56,4
66837,respondent_66837,No,Yes,2137.41,2,17,4
17374,respondent_17374,No,No,0.0,3,50,5
93681,respondent_93681,Yes,Yes,0.0,4,56,4
53540,respondent_53540,Yes,Yes,0.0,3,128,8
20406,respondent_20406,Yes,No,7620.0,2,5,4
55192,respondent_55192,Yes,Yes,99.38,4,50,8
27833,respondent_27833,No,Yes,22225.0,4,130,6
71449,respondent_71449,Yes,Yes,0.0,1,17,0
7305,respondent_7305,No,Yes,598.17,4,50,4
90794,respondent_90794,No,Yes,3131.82,2,31,7
83056,respondent_83056,Yes,Yes,9702.48,4,128,5
41077,respondent_41077,No,Yes,14112.56,4,128,2
43751,respondent_43751,No,No,17834.61,4,55,7
50571,respondent_50571,Yes,Yes,0.0,3,94,1
257,respondent_257,No,Yes,30797.5,4,130,4
84364,respondent_84364,No,Yes,31750.0,4,130,4
16687,respondent_16687,No,Yes,5334.0,2,126,4
11982,respondent_11982,No,Yes,0.0,4,130,4
32424,respondent_32424,No,Yes,0.0,1,13,8
77936,respondent_77936,Yes,Yes,0.0,3,130,0
24225,respondent_24225,Yes,Yes,39762.11,2,50,1
81498,respondent_81498,Yes,Yes,0.0,2,128,0
48657,respondent_48657,No,No,0.0,4,111,3
41175,respondent_41175,No,No,0.0,3,94,4
1628,respondent_1628,Yes,Yes,89466.42,1,50,2
70433,respondent_70433,Yes,Yes,50800.0,2,130,2
72733,respondent_72733,No,Yes,47625.0,2,130,4
1964,respondent_1964,No,Yes,0.0,3,128,8
27994,respondent_27994,No,Yes,17874.62,4,42,0
79476,respondent_79476,No,Yes,0.0,2,21,8
44520,respondent_44520,No,Yes,13230.54,4,128,1
99411,respondent_99411,Yes,Yes,23812.5,2,130,8
60661,respondent_60661,Yes,Yes,13230.54,1,128,4
21051,respondent_21051,No,Yes,0.0,1,44,8
42900,respondent_42900,No,Yes,0.0,4,130,8
52300,respondent_52300,No,Yes,7128.51,4,17,4
80594,respondent_80594,No,Yes,31750.0,1,130,3
100519,respondent_100519,Yes,Yes,0.0,3,48,7
6946,respondent_6946,No,Yes,0.0,3,50,2
9816,respondent_9816,No,No,20452.4,4,21,3
93266,respondent_93266,No,Yes,23314.98,4,13,0
85103,respondent_85103,No,Yes,0.0,4,130,8
66331,respondent_66331,Yes,Yes,46037.5,2,130,4
8972,respondent_8972,No,Yes,13445.49,2,94,0
37450,respondent_37450,No,Yes,4503.42,2,91,4
9341,respondent_9341,No,No,317500.0,4,50,0
